ISO	Name	Tone	Tone_number	Tone_comments
irn	Irantxe	None	0	
iso	Isoko, Uzere dialect	Simple	2	
ita	Italian	None	0	
ito	Itonama	None	0	
iwm	Iwam, May River	None	0	
jaa	Madi (Brazil), Banawa dialect	None	0	
jac	Jacaltec, Eastern	None	0	
jae	Yabem	Simple	2	
jao	Yanyuwa	None	0	
jeb	Jebero	None	0	
jic	Tol	None	0	
jig	Jingulu	None	0	
jpn	Japanese	Marginal	1	pitch-accent
jru	Japreria	None	0	
jua	Júma	None	0	
kal	West Greenlandic Inuktitut	None	0	
kan	Kannada	None	0	
kas	Kashmiri	None	0	
kat	Georgian	None	0	
kbh	Camsa	None	0	
kbk	Koiari	None	0	
kbr	Kafa	Simple	2	
kbv	Dla, Menggwa dialect	None	0	
kca	Khanty, Northern	None	0	
kea	Cape Verde Creole, Santiago dialect	None	0	
kek	K\'ekchi	None	0	
ker	Kera	Moderately complex	3	
kew	Kewa, Western	Simple	2	
kfe	Kota (India)	None	0	
kff	Koya	None	0	
kfz	Koromfe	None	0	
kgo	Krongo	Simple	2	
kgr	Abun	Moderately complex	3	
kha	Khasi	None	0	
khb	Ly	Complex	6	
khc	Tukang Besi, Wanci (Northern) dialect	None	0	
khk	Khalkha	None	0	
khl	Kaliai	None	0	
khq	Songhay, Koyra Chiini dialect	None	0	
khr	Kharia, Dudh	None	0	
kic	Kickapoo	None	0	
kij	Kilivila	None	0	
kio	Kiowa	Simple	2	
kir	Kyrgyz	None	0	
kjd	Southern Kiwai, Island dialect	Simple	2	
kjh	Khakas	None	0	
kjl	Kham, Takale dialect	Complex	4	
kjq	Western Keres	Moderately complex	3	
kkk	Kokota	None	0	
kkw	Teke, Kukuya dialect	Simple	2	
kla	Klamath	None	0	
kmo	Kwoma	None	0	
kna	Kanakuru	Simple	2	
knc	Kanuri	Simple	2	
knn	Konkani	None	0	
kog	Kogi	None	0	
kor	Korean	None	0	
kpk	Kpan	Complex	3	
kpm	Sre	Simple	2	
kpw	Kobon	None	0	
kpy	Koryak	None	0	
krc	Karachay-Balkar, Karachay dialect	None	0	
kru	Kurukh	None	0	
ksi	I\'saka	Complex	4	
kss	Kisi, Southern dialect	Simple	2	
ksx	Kedang	None	0	
ktg	Kalkatungu	None	0	
kto	Kuot, South	None	0	
kun	Kunama	Moderately complex	3	
kup	Kunimaipa	None	0	
kut	Kutenai	None	0	
kwd	Kwaio	None	0	
kwi	Awa Pit	None	0	
kwk	Kwakw\'ala	None	0	
kyh	Karuk	Simple	2	
kyj	Karao	None	0	
lbj	Ladakhi, dialect of Leh	None	0	
lbz	Lardil	None	0	
lef	Lelemi	Moderately complex	3	
lep	Lepcha	Marginal	2	
lez	Lezgian	None	0	
lgg	Lugbara, Western	Complex	4	
lhu	Lahu	Complex	7	
lic	Hlai, Lauhut (Baoding) dialect	Moderately complex	3	
lit	Lithuanian	Simple	2	
lkt	Lakota, Teton	None	0	
lln	Lele (Chad)	Moderately complex	3	
lmc	Limilngan	None	0	
lpa	Lelepa	None	0	
lui	Luiseño	None	0	
lvk	Lavukaleve	None	0	
mai	Maithili	None	0	
mak	Makassarese	None	0	
maz	Mazahua, Central	Complex	4	
mbl	Maxakalí	None	0	
mbp	Damana	None	0	
mca	Maká	None	0	
mdd	Mbum	Simple	2	
mde	Maba	Moderately complex	3	
mei	Midob, Kaargedi dialect	Simple	2	
mfc	Mbane	Moderately complex	3	
mhi	Ma\'di, Southern (Lokai) dialect	Moderately complex	3	
mhj	Moghol	None	0	
mhl	Mauwake	None	0	
mhq	Mandan	None	0	
mhu	Digaro	Complex	4	
mhz	Mor (Indonesia)	Moderately complex	3	
mia	Miami-Illinois	None	0	
mif	Mofu-Gugur	Simple	2	
mig	Mixtec, Chalcatongo (Western Alta)	Moderately complex	3	
miq	Miskitu	None	0	
mjg	Mangghuer, Minxe dialect	None	0	
mky	Taba, Waikyon dialect	None	0	
mla	Tamambo, western	None	0	
mlt	Maltese, Standard	None	0	
mni	Meithei	Simple	2	
mns	Mansi, Northern	None	0	
mpb	Malakmalak	None	0	
mpc	Mangarrayi	None	0	
mph	Maung	None	0	
mps	Dadibi	Simple	2	
mpt	Mian	Complex	5	
mqs	West Makian	None	0	
mrc	Maricopa	None	0	
mri	Māori	None	0	
mtg	Una (Papua)	Simple	2	
mur	Murle	Simple	3	
mwf	Murrinhpatha	None	0	
mwp	Kala Lagau Ya	None	0	
mxf	Malgbe	Simple	2	
mxu	Mada (Cameroun)	Moderately complex	3	
mya	Burmese	Moderately complex	3	
myh	Makah	None	0	
myp	Pirahã	Simple	2	
myu	Mundurukú	Simple	2	
mzm	Mumuye	Moderately complex	3	
mzp	Movima	None	0	
nab	Southern Nambiquara	Complex	3	
nan	Hainanese	Complex	6	
naq	Khoekhoe	Complex	6	
nas	Naasioi	None	0	
nav	Navajo	Simple	2	
ncb	Central Nicobarese, Nancowry dialect	None	0	
ncj	Nahuatl, North Puebla	None	0	
nck	Nakkara	None	0	
ncz	Natchez	None	0	
ndv	Ndut	None	0	
npi	Nepali, Kathmandu dialect.	None	0	
new	Newari, Kathmandu dialect	None	0	
nez	Nez Perce	None	0	
ngi	Ngizim	Moderately complex	3	
nha	Nhanda	None	0	
nhg	Nahuatl, Tetelcingo	None	0	
nhu	Noni	Complex	5	
nio	Nganasan	None	0	
niq	Nandi	Simple	3	
nir	Nimboran	None	0	
niv	Nivkh	Simple	2	
niy	Ngiti	Complex	4	
njo	Ao, Mongsen dialect	Moderately complex	3	
njz	Nyishi	Simple	3	
nld	Dutch	None	0	
nmk	Namakir	None	0	
nmu	Maidu, Northeastern	None	0	
nna	Nyangumarda	None	0	
nod	Nzadi (B865)	Simple	2	
nor	Norwegian	Simple	2	pitch-accent
nrb	Nara	Simple	2	
ntu	Natügu	None	0	
nut	Nung	Complex	6	
nuy	Nunggubuyu	None	0	
nya	Nyanja, Chichewa dialect	Simple	2	
nyi	Ama	Moderately complex	3	
nyp	Nyangi	Simple	2	
oca	Ocaina	Simple	2	
ogb	Ogbia	Simple	2	
ona	Selknam, Central dialect	None	0	
one	Oneida	Marginal	1	
ood	Tohono O\'odham	None	0	
ote	Otomi, Mezquital	Simple	3	
oym	Wayampi	None	0	
pab	Paresí	None	0	
pac	Pacoh	None	0	
pad	Paumarí	None	0	
pap	Papiamentu	Simple	2	
pav	Wari\'	None	0	
pay	Pech, Culmí dialect	Simple	3	
